

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
538.597  000.184  000.184: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/getscriptPlugin.vim
539.322  000.378  000.378: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/gzip.vim
540.075  000.497  000.497: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/matchparen.vim
541.362  001.107  001.107: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/netrwPlugin.vim
541.922  000.150  000.150: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/rrhelper.vim
542.375  000.115  000.115: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/spellfile.vim
543.023  000.311  000.311: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/tarPlugin.vim
543.534  000.313  000.313: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/tohtml.vim
543.933  000.258  000.258: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/vimballPlugin.vim
544.512  000.365  000.365: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/plugin/zipPlugin.vim
545.582  000.121  000.121: sourcing /Users/alex/.vim/after/plugin/surround_change_element.vim
547.062  000.301  000.301: sourcing /Users/alex/.vim/bundle/ultisnips/after/plugin/UltiSnips_after.vim
547.540  043.060: loading plugins
547.555  000.015: inits 3
550.780  003.225: reading viminfo
550.804  000.024: setting raw mode
550.824  000.020: start termcap
550.939  000.115: clearing screen
3817.818  001.921  001.921: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/scripts.vim
3820.745  000.890  000.890: sourcing /Users/alex/.vim/bundle/ultisnips/autoload/UltiSnips.vim
3826.342  000.611  000.611: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/ftplugin/vim.vim
3832.257  000.230  000.230: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/indent/vim.vim
3845.156  001.109  001.109: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/pod.vim
3850.150  006.980  005.871: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/perl.vim
3854.468  003.781  003.781: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/ruby.vim
3856.702  001.349  001.349: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/python.vim
3859.703  002.135  002.135: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/tcl.vim
3861.164  026.608  012.363: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/vim.vim
3863.980  000.692  000.692: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions.vim
3864.566  000.159  000.159: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/quickfix.vim
3865.404  000.161  000.161: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/netrw.vim
